the_geom,GEOID,FSHRI,FVI_storm_surge_present,FVI_storm_surge_2050s,FVI_storm_surge_2080s,FVI_tidal_2020s,FVI_tidal_2050s,FVI_tidal_2080s,flood_risk_score
"MULTIPOLYGON (((-73.961426 40.760362, -73.961068 40.760857999999985, -73.960607 40.761488, -73.96015 40.762115, -73.959695 40.76274, -73.957441 40.761789, -73.957888 40.761175, -73.95708 40.760855, -73.956705 40.760681, -73.956313 40.76047700000001, -73.953843 40.759355000000006, -73.955527 40.75724300000001, -73.958478 40.75854, -73.958719 40.75864, -73.958934 40.758335, -73.959722 40.758663000000006, -73.961966 40.759619, -73.961426 40.760362)))",36061010602,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.08
"MULTIPOLYGON (((-73.956798 40.77496699999998, -73.956583 40.775259, -73.956334 40.775601, -73.955869 40.776236000000004, -73.955408 40.776868, -73.954945 40.77750399999999, -73.95270500000001 40.776560999999994, -73.950339 40.775564, -73.950798 40.774927, -73.951261 40.774292, -73.951723 40.773657, -73.951863 40.773464000000004, -73.952186 40.773019999999995, -73.952686 40.77233999999999, -73.955055 40.77333699999999, -73.957294 40.77428299999999, -73.956798 40.77496699999998)))",36061013800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.957993 40.80082699999999, -73.957696 40.801232000000006, -73.957238 40.801858, -73.956778 40.80248799999999, -73.956321 40.803115000000005, -73.95347700000002 40.80191700000001, -73.952556 40.80153, -73.950636 40.80072, -73.951094 40.800090999999995, -73.951191 40.79994799999999, -73.951529 40.79945899999999, -73.952015 40.798832999999995, -73.952483 40.798253, -73.955289 40.799435, -73.957798 40.800479, -73.958195 40.800552999999994, -73.957993 40.80082699999999)))",36061021600,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.957636 40.785344, -73.956718 40.78660099999998, -73.95577800000001 40.787913999999994, -73.954163 40.787227, -73.952551 40.78654900000001, -73.95304500000002 40.785874, -73.953503 40.785246999999984, -73.953961 40.78461599999999, -73.954417 40.78399199999999, -73.954877 40.783362999999994, -73.956487 40.78404400000001, -73.958096 40.784718000000005, -73.957636 40.785344)))",36061016001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.9751708470458 40.8109443801033, -73.969222 40.808506, -73.966979 40.80759599999999, -73.964848 40.80670700000001, -73.962008 40.805508999999994, -73.962475 40.80488600000001, -73.962926 40.804256, -73.963384 40.803627999999996, -73.963861 40.802972000000004, -73.964387 40.803194, -73.966701 40.804168999999995, -73.968048 40.804684, -73.971133 40.805802, -73.9772506594803 40.80808215731349, -73.9751708470458 40.8109443801033)))",36061019900,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.949872 40.776196, -73.949374 40.776876, -73.947122 40.77592899999999, -73.944765 40.774936, -73.945267 40.77425199999999, -73.945728 40.773622, -73.948084 40.774611, -73.950339 40.775564, -73.949872 40.776196)))",36061014401,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.928722 40.866743, -73.927002 40.867951, -73.926233 40.868506, -73.923821 40.869018, -73.922145 40.869150000000005, -73.921726 40.868497, -73.921214 40.86769299999999, -73.92311 40.867016, -73.925005 40.86633599999999, -73.927269 40.865535, -73.928057 40.8662, -73.928722 40.866743)))",36061029500,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.9789376576 40.8057605227351, -73.972899 40.803383, -73.970047 40.802264999999984, -73.968584 40.801635999999995, -73.967878 40.801353999999996, -73.965711 40.800436999999995, -73.966206 40.799761, -73.966662 40.799133, -73.967575 40.79787, -73.969001 40.79847600000001, -73.970423 40.799071, -73.971924 40.799705, -73.974714 40.800851, -73.9807020170417 40.803332424066404, -73.9789376576 40.8057605227351)))",36061019100,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.94968 40.80202399999999, -73.949187 40.8027, -73.948728 40.803331, -73.948273 40.80395699999999, -73.945519 40.802794999999996, -73.945052 40.802598999999994, -73.945508 40.801971, -73.945968 40.80134199999999, -73.946462 40.80066499999999, -73.946974 40.79996100000001, -73.948625 40.80066600000001, -73.950186 40.80133200000001, -73.94968 40.80202399999999)))",36061019000,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"MULTIPOLYGON (((-73.98021000000001 40.78056099999999, -73.979748 40.781195000000004, -73.979586 40.78141899999999, -73.979285 40.78183899999999, -73.978823 40.782465, -73.975981 40.781267, -73.976428 40.78065399999999, -73.973571 40.779478, -73.974067 40.77880499999999, -73.974532 40.778168, -73.974997 40.77753299999999, -73.97783100000001 40.778729999999996, -73.980673 40.779925, -73.98021000000001 40.78056099999999)))",36061016100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
