GeoName,Total Hispanic,Total Black,Total Asian,Pop,% Hispanic,% Black,% Asian
,8286.2,1327.1,395.0,6518.0,127.12795335992637,20.36054004295796,6.060141147591286
,7615.2,2819.9,27.0,6459.0,117.90060380863912,43.658461062083916,0.41802136553646074
,2700.3,599.9,0.0,2130.0,126.77464788732395,28.164319248826292,0.0
,3909.4,2495.9,0.0,4371.0,89.43948753145733,57.10134980553649,0.0
,8329.5,1705.8,772.0,6804.0,122.42063492063492,25.0705467372134,11.346266901822458
,3488.7,806.2,48.0,2863.0,121.8546978693678,28.15927348934684,1.6765630457562
,2981.3,607.7,0.0,2577.0,115.68878540939079,23.581684128831977,0.0
,1818.6,216.9,0.0,1262.0,144.10459587955626,17.187004754358163,0.0
,1269.8,3068.6,0.0,3444.0,36.869918699187,89.0998838559814,0.0
,8379.1,2564.2,194.0,6769.0,123.78637908110504,37.88151868813709,2.8660067956862165
,7895.4,2086.3,201.0,6567.0,120.22841480127913,31.769453327242275,3.0607583371402467
,0.0,0.0,0.0,19.0,0.0,0.0,0.0
,4050.5,1727.3,472.0,4186.0,96.76301958910655,41.26373626373626,11.275680840898232
,6847.8,2263.8,282.0,6251.0,109.54727243641018,36.215005599104146,4.511278195488721
,8702.3,2246.1,165.0,6893.0,126.24836790947336,32.585231394168,2.3937327723777746
,3419.3,1141.5,690.0,3419.0,100.00877449546653,33.38695525007312,20.181339572974554
,7993.1,3329.0,76.0,6964.0,114.77742676622631,47.802986789201604,1.0913268236645606
,4505.0,1153.5,1893.0,5021.0,89.72316271659032,22.973511252738497,37.70165305715993
,2991.6,1138.3,25.0,2789.0,107.2642524202223,40.81391179634277,0.8963786303334529
,4272.8,834.1,4910.0,6291.0,67.91924972182484,13.25862343029725,78.0480050866317
,4821.0,1465.0,33.0,4205.0,114.64922711058263,34.839476813317475,0.7847800237812128
,3897.1,1307.0,188.0,3536.0,110.21210407239819,36.96266968325792,5.316742081447964
,8006.9,2705.5,73.0,6749.0,118.63831678767225,40.08742035857164,1.0816417246999557
,6197.9,1285.1,1330.0,5682.0,109.07954945441745,22.617036254839842,23.407250967969027
,2577.2,435.0,0.0,1974.0,130.55724417426543,22.036474164133736,0.0
,7149.1,1414.8,2791.0,7037.0,101.59300838425467,20.10515844820236,39.66178769361944
,8914.8,2293.0,23.0,6826.0,130.60064459419866,33.59214767067096,0.3369469674772927
,8844.2,1555.0,50.0,6122.0,144.4658608297942,25.400196014374387,0.8167265599477294
,2681.8,994.0,360.0,2587.0,103.66447622729031,38.4228836490143,13.915732508697332
