nta_code,GeogName,Pop_1E,MdAgeE,WtNHE,BlNHE,AsnNHE,Hsp1E,MdHHIncE,PerCapIncE,PopPvU1E,PBwPvE,% below poverty,% White,% Black,% Asian,% Hispanic
MN0601,Stuyvesant Town-Peter Cooper Village,21575,40.1,15903,515,2585,1590,149039.0,102597.0,21575,1857,0.08607184241019698,0.7371031286210892,0.023870220162224797,0.11981460023174971,0.07369640787949015
MN0602,Gramercy,26083,34.2,17493,1693,3894,2089,155905.0,113359.0,23600,2556,0.10830508474576271,0.6706667177855308,0.0649081777402906,0.14929264271747883,0.08009048038952575
MN0603,Murray Hill-Kips Bay,55247,34.2,31783,3298,11161,5788,138337.0,116242.0,53765,4270,0.07941969682879196,0.57528915597227,0.05969554907958803,0.20202001918656218,0.10476586963998046
MN0604,East Midtown-Turtle Bay,40734,46.8,29733,622,5887,3368,161934.0,150674.0,40333,2443,0.060570748518582795,0.7299307703638238,0.015269799184956056,0.14452300289684294,0.08268277114940836
MN0701,Upper West Side-Lincoln Square,65909,42.7,42623,3245,10811,6305,158165.0,141504.0,64026,5694,0.08893262112266892,0.6466946850961174,0.04923455066834575,0.16402919176440242,0.09566220091338057
MN0702,Upper West Side (Central),101672,43.8,72847,3469,6501,13901,148563.0,129648.0,100932,8346,0.08268933539412673,0.7164902824769848,0.03411952159886694,0.06394090801794004,0.1367239751357306
MN0703,Upper West Side-Manhattan Valley,53065,39.4,24134,6567,5392,15472,96777.0,71578.0,52037,8662,0.16645848146511136,0.4548007161028927,0.12375388674267408,0.10161123150852727,0.291566946198059
MN0801,Upper East Side-Lenox Hill-Roosevelt Island,80352,37.5,56836,2726,10978,7198,133349.0,112026.0,78793,6295,0.07989288388562436,0.7073377140581442,0.033925726802070885,0.13662385503783353,0.08958084428514536
MN0802,Upper East Side-Carnegie Hill,53138,49.8,42573,454,4247,4055,194910.0,180904.0,52876,2756,0.05212194568424238,0.801178064661824,0.008543791636870036,0.07992397154578644,0.07631073807821145
MN0803,Upper East Side-Yorkville,77645,41.8,55894,3471,6887,8515,133582.0,117655.0,77163,6037,0.07823697886292653,0.7198660570545431,0.04470345804623607,0.08869856397707515,0.10966578659282633
MN0901,Morningside Heights,37772,28.1,16856,4544,6777,7823,79523.0,53431.0,27302,6262,0.22936048641125192,0.4462564862861379,0.12030075187969924,0.17941861696494757,0.20711108757810018
MN0902,Manhattanville-West Harlem,23487,34.1,3380,6364,1089,12105,46367.0,29610.0,23245,6150,0.26457302645730263,0.14390939668752928,0.27095840252054326,0.04636607484991698,0.5153914931664325
MN0903,Hamilton Heights-Sugar Hill,53354,37.0,9129,13721,2026,26060,69063.0,38887.0,53175,12076,0.2270992007522332,0.17110244780147693,0.25716909697492224,0.03797278554560108,0.48843573115417777
MN1001,Harlem (South),49776,36.6,12017,23008,2759,9209,66098.0,52425.0,49619,10051,0.20256353413007114,0.24142156862745098,0.462230793956927,0.05542831886853102,0.18500883960141434
MN1002,Harlem (North),86108,37.1,8708,48206,2549,22961,55155.0,37694.0,85690,21854,0.25503559341813514,0.10112881497654108,0.5598318390857993,0.029602359827193756,0.26665350490082224
MN1101,East Harlem (South),58525,38.3,10878,12757,7512,24869,39490.0,40924.0,56327,16609,0.29486747030731264,0.18586928662964544,0.21797522426313543,0.12835540367364373,0.42492951730029904
MN1102,East Harlem (North),64572,36.4,6771,24714,2720,28407,35504.0,30586.0,63852,21177,0.33165758316106,0.10485969150715481,0.3827355510128229,0.042123521030787335,0.43992752276528524
MN1201,Washington Heights (South),81293,37.2,10550,7610,3118,58077,57300.0,35401.0,79916,17569,0.2198433355022774,0.1297774716150222,0.09361199611282645,0.038355085923757276,0.7144157553540895
MN1202,Washington Heights (North),80504,39.4,21162,2973,2280,51633,73903.0,45039.0,78715,11046,0.14032903512672298,0.26286892576766374,0.0369298419954288,0.028321574083275364,0.6413718572990162
MN1203,Inwood,40883,37.5,7515,2355,1387,28486,62831.0,36981.0,40824,6284,0.15392906133646875,0.18381723454736687,0.05760340483819681,0.033926081745468774,0.6967688281192672
