Borough,Pop,Total Hispanic,Total Black,Total Asian,% Hispanic,% Black,% Asian
Manhattan,5707.0,403.0,,1151.0,7.061503416856492,,20.168214473453652
Manhattan,5290.0,553.3,,1146.0,10.459357277882797,,21.663516068052928
Manhattan,5494.0,707.6,,1381.0,12.87950491445213,,25.136512559155445
Manhattan,3686.0,634.8,,1832.0,17.22192078133478,,49.701573521432444
Manhattan,6707.0,698.2,,658.0,10.410019382734458,,9.810645594155359
Manhattan,8744.0,1505.1,,2285.0,17.212946020128086,,26.132204940530652
Manhattan,6721.0,920.5,,1632.0,13.69587858949561,,24.282100877845558
Manhattan,12341.0,3967.0,,4060.0,32.144882910623124,,32.898468519568915
Manhattan,5547.0,523.3,,645.0,9.433928249504236,,11.627906976744185
Manhattan,7706.0,1147.8,,2094.0,14.894887100960291,,27.17363093693226
Manhattan,2799.0,98.4,,279.0,3.515541264737406,,9.967845659163988
Manhattan,4550.0,395.4,,1399.0,8.69010989010989,,30.747252747252745
Manhattan,4865.0,664.3,,1314.0,13.654676258992804,,27.00924974306269
Manhattan,5851.0,724.0,,678.0,12.373953170398222,,11.587762775593916
Manhattan,9358.0,1194.8,,2773.0,12.76768540286386,,29.632400085488353
Manhattan,6180.0,548.7,,617.0,8.87864077669903,,9.983818770226536
Manhattan,5698.0,861.8,,1808.0,15.124605124605123,,31.73043173043173
Manhattan,4000.0,324.1,,262.0,8.1025,,6.550000000000001
Manhattan,2921.0,493.3,,1897.0,16.88805203697364,,64.94351249572064
Manhattan,6192.0,709.3,,882.0,11.455103359173126,,14.244186046511627
Manhattan,9109.0,1129.1,,4369.0,12.39543308815457,,47.963552530464376
Manhattan,4442.0,164.5,,533.0,3.703286807744259,,11.999099504727601
Manhattan,5906.0,721.0,,1792.0,12.207924144937351,,30.34202505926177
Manhattan,7853.0,1495.0,,1342.0,19.037310581943206,,17.089010569209222
Manhattan,3414.0,284.2,,1224.0,8.324545987111891,,35.85237258347979
Manhattan,3853.0,2063.3,,684.0,53.5504801453413,,17.752400726706462
Manhattan,1985.0,328.8,,950.0,16.564231738035264,,47.858942065491185
Manhattan,4853.0,620.6,,2813.0,12.787966206470225,,57.96414588914074
Manhattan,0.0,0.0,,0.0,,,
Manhattan,5347.0,262.8,,967.0,4.914905554516551,,18.084907424724143
Manhattan,6510.0,894.8,,1397.0,13.74500768049155,,21.459293394777266
Manhattan,8852.0,1256.1,,3938.0,14.19001355625847,,44.48712155445097
Manhattan,5957.0,1631.9,,989.0,27.39466174248783,,16.602316602316602
Manhattan,8830.0,990.0,,4328.0,11.211778029445075,,49.014722536806346
Manhattan,7362.0,1100.7,,1675.0,14.951100244498777,,22.751969573485468
Manhattan,1866.0,79.0,,814.0,4.233654876741694,,43.62272240085745
Manhattan,9325.0,2949.2,,1571.0,31.62680965147453,,16.847184986595174
Manhattan,109.0,0.0,,0.0,0.0,,0.0
Manhattan,3892.0,1503.6,,699.0,38.63309352517985,,17.959917780061666
Manhattan,608.0,55.9,,52.0,9.194078947368421,,8.552631578947368
Manhattan,5071.0,2403.4,,1165.0,47.39499112601065,,22.973772431473083
Manhattan,8078.0,912.2,,2857.0,11.29239910869027,,35.36766526367913
Manhattan,2093.0,328.0,,342.0,15.671285236502627,,16.340181557572862
Manhattan,3848.0,962.4,,849.0,25.01039501039501,,22.063409563409564
Manhattan,2380.0,390.8,,1188.0,16.420168067226893,,49.91596638655462
Manhattan,2170.0,172.6,,744.0,7.953917050691244,,34.285714285714285
Manhattan,2596.0,380.1,,1561.0,14.641756548536211,,60.130970724191066
Manhattan,283.0,0.0,,0.0,0.0,,0.0
Manhattan,4095.0,1742.5,,1688.0,42.55189255189255,,41.22100122100122
Manhattan,983.0,0.0,,111.0,0.0,,11.291963377416073
Manhattan,8256.0,814.9,,949.0,9.870397286821705,,11.494670542635658
Manhattan,5489.0,525.5,,1716.0,9.573692840225906,,31.262525050100198
Manhattan,3297.0,250.4,,956.0,7.59478313618441,,28.996057021534728
Manhattan,3805.0,174.5,,834.0,4.586070959264126,,21.918528252299605
Manhattan,2696.0,23.9,,900.0,0.8864985163204747,,33.38278931750742
Manhattan,407.0,0.0,,84.0,0.0,,20.638820638820636
Manhattan,7671.0,1064.7,,2048.0,13.879546343371137,,26.697953330726108
Manhattan,6138.0,1684.9,,2914.0,27.45030954708374,,47.474747474747474
Manhattan,1233.0,57.3,,77.0,4.647201946472019,,6.244931062449311
Manhattan,500.0,0.0,,32.0,0.0,,6.4
Manhattan,1420.0,0.0,,377.0,0.0,,26.549295774647884
Manhattan,216.0,0.0,,187.0,0.0,,86.57407407407408
Manhattan,1361.0,0.0,,81.0,0.0,,5.9515062454077885
Manhattan,2620.0,44.6,,359.0,1.702290076335878,,13.702290076335878
Manhattan,3863.0,894.5,,2631.0,23.15557856588144,,68.10768832513591
Manhattan,3263.0,331.9,,777.0,10.17162120747778,,23.81244253754214
Manhattan,5256.0,1523.4,,2733.0,28.984018264840184,,51.99771689497717
Manhattan,9688.0,878.1,,1748.0,9.063790255986788,,18.042939719240298
Manhattan,1666.0,496.0,,0.0,29.7719087635054,,0.0
Manhattan,3905.0,96.5,,335.0,2.471190781049936,,8.578745198463508
Manhattan,3408.0,886.3,,1542.0,26.00645539906103,,45.24647887323944
Manhattan,5236.0,1473.8,,758.0,28.147440794499616,,14.476699770817417
Manhattan,3425.0,113.2,,127.0,3.3051094890510955,,3.708029197080292
Manhattan,10845.0,1311.0,,3042.0,12.088520055325034,,28.04979253112033
Manhattan,2901.0,348.6,,2004.0,12.016546018614271,,69.07962771458118
Manhattan,7437.0,683.1,,1556.0,9.18515530455829,,20.9224149522657
Manhattan,6400.0,344.4,,754.0,5.38125,,11.78125
Manhattan,7282.0,2673.4,,2077.0,36.712441636912935,,28.522383960450426
Manhattan,6545.0,480.3,,471.0,7.33842627960275,,7.19633307868602
Manhattan,7959.0,2248.0,,3927.0,28.244754366126397,,49.340369393139845
Manhattan,3144.0,1247.4,,476.0,39.67557251908397,,15.139949109414758
Manhattan,3911.0,46.2,,331.0,1.1812835591920225,,8.463308616722067
Manhattan,3962.0,1064.3,,1954.0,26.862695608278646,,49.318525996971225
Manhattan,3146.0,111.4,,673.0,3.5410044500953592,,21.392244119516846
Manhattan,4237.0,458.4,,1043.0,10.818975690346944,,24.616473920226575
Manhattan,3747.0,287.4,,876.0,7.6701361088871085,,23.378702962369896
